,lease,protraction_id,block_num,sale,bid_amount,company_num,precentage_bid,company,block_code
0,36647,NG15-03,420,252,0.589909,59,100.0,Hess Corporation,NG15-03 - 420
1,36673,NG16-01,68,252,0.605524,2481,100.0,BP Exploration & Production Inc.,NG16-01 - 68
2,36631,NG15-03,92,252,0.3,1284,100.0,W & T Offshore,NG15-03 - 92
3,36687,NG16-02,414,252,0.771988,689,100.0,Shell Offshore Inc.,NG16-02 - 414
4,36689,NG15-05,779,252,0.75,2058,100.0,LLOG Exploration Offshore,NG15-05 - 779
5,36694,NG15-05,964,252,4.0675050000000015,2219,100.0,Anadarko US Offshore LLC,NG15-05 - 964
6,36694,NG15-05,964,252,7.0002130000000005,3362,50.0,Kosmos Energy Gulf of Mexico Operations,NG15-05 - 964
7,36694,NG15-05,964,252,7.0002130000000005,2748,50.0,Equinor Gulf of Mexico LLC,NG15-05 - 964
8,36482,NG15-01,996,252,0.801988,689,100.0,Shell Offshore Inc.,NG15-01 - 996
9,36653,NG15-03,814,252,0.6,2058,100.0,LLOG Exploration Offshore,NG15-03 - 814
10,36595,NH16-11,888,252,0.731988,689,100.0,Shell Offshore Inc.,NH16-11 - 888
11,36595,NH16-11,888,252,0.600524,2481,100.0,BP Exploration & Production Inc.,NH16-11 - 888
12,36682,NG16-02,136,252,0.731988,689,100.0,Shell Offshore Inc.,NG16-02 - 136
13,36695,NG15-06,113,252,0.6075050000000001,2219,100.0,Anadarko US Offshore LLC,NG15-06 - 113
14,36580,NH16-11,714,252,0.771988,689,100.0,Shell Offshore Inc.,NH16-11 - 714
15,36588,NH16-11,798,252,0.731988,689,100.0,Shell Offshore Inc.,NH16-11 - 798
16,36611,NG15-02,545,252,0.801988,689,100.0,Shell Offshore Inc.,NG15-02 - 545
17,36594,NH16-11,887,252,0.771988,689,100.0,Shell Offshore Inc.,NH16-11 - 887
18,36640,NG15-03,279,252,0.801988,689,100.0,Shell Offshore Inc.,NG15-03 - 279
19,36526,NH16-07,858,252,0.30750500000000003,2219,100.0,Anadarko US Offshore LLC,NH16-07 - 858
20,36578,NH16-11,669,252,0.771988,689,100.0,Shell Offshore Inc.,NH16-11 - 669
21,36615,NG15-02,640,252,0.751988,689,100.0,Shell Offshore Inc.,NG15-02 - 640
22,36491,NG15-04,300,252,0.801988,689,100.0,Shell Offshore Inc.,NG15-04 - 300
23,36603,NG15-02,305,252,0.589909,59,100.0,Hess Corporation,NG15-02 - 305
24,36630,NG15-03,91,252,0.3,1284,100.0,W & T Offshore,NG15-03 - 91
25,36546,NH16-10,469,252,0.800524,2481,100.0,BP Exploration & Production Inc.,NH16-10 - 469
26,36639,NG15-03,278,252,0.801988,689,100.0,Shell Offshore Inc.,NG15-03 - 278
27,36612,NG15-02,555,252,0.771988,689,100.0,Shell Offshore Inc.,NG15-02 - 555
28,36616,NG15-02,641,252,0.731988,689,100.0,Shell Offshore Inc.,NG15-02 - 641
29,36690,NG15-05,780,252,0.62,2058,100.0,LLOG Exploration Offshore,NG15-05 - 780
30,36480,NG15-01,954,252,0.801988,689,100.0,Shell Offshore Inc.,NG15-01 - 954
31,36669,NG16-01,15,252,0.651988,689,100.0,Shell Offshore Inc.,NG16-01 - 15
32,36671,NG16-01,48,252,1.100524,2481,100.0,BP Exploration & Production Inc.,NG16-01 - 48
33,36664,NG15-03,996,252,0.6075050000000001,2219,100.0,Anadarko US Offshore LLC,NG15-03 - 996
34,36582,NH16-11,752,252,0.771988,689,100.0,Shell Offshore Inc.,NH16-11 - 752
35,36633,NG15-03,124,252,1.209776,2748,100.0,Equinor Gulf of Mexico LLC,NG15-03 - 124
36,36661,NG15-03,946,252,0.6075050000000001,2219,100.0,Anadarko US Offshore LLC,NG15-03 - 946
37,36697,NG15-06,363,252,1.430837,78,100.0,Chevron U.S.A. Inc.,NG15-06 - 363
38,36703,NG15-06,719,252,0.604801,3570,85.0,Beacon Offshore Energy Exploration LLC,NG15-06 - 719
39,36703,NG15-06,719,252,0.604801,1999,15.0,Houston Energy,NG15-06 - 719
40,36675,NG16-01,137,252,1.650623,2647,50.0,Murphy Exploration & Production Company - USA,NG16-01 - 137
41,36675,NG16-01,137,252,1.650623,1308,50.0,Ridgewood Energy Corporation,NG16-01 - 137
42,36537,NH16-10,119,252,1.841626,3295,20.0,Fieldwood Energy LLC,NH16-10 - 119
43,36537,NH16-10,119,252,1.841626,78,80.0,Chevron U.S.A. Inc.,NH16-10 - 119
44,36541,NH16-10,244,252,0.625,1284,100.0,W & T Offshore,NH16-10 - 244
45,36698,NG15-06,407,252,0.615829,78,100.0,Chevron U.S.A. Inc.,NG15-06 - 407
46,36609,NG15-02,508,252,0.801988,689,100.0,Shell Offshore Inc.,NG15-02 - 508
47,36570,NH16-10,981,252,0.651988,689,100.0,Shell Offshore Inc.,NH16-10 - 981
48,36624,NG15-03,35,252,2.016077,3570,50.0,Beacon Offshore Energy Exploration LLC,NG15-03 - 35
49,36624,NG15-03,35,252,2.016077,1999,10.0,Houston Energy,NG15-03 - 35
50,36624,NG15-03,35,252,2.016077,2668,25.0,Red Willow Offshore,NG15-03 - 35
51,36624,NG15-03,35,252,2.016077,3394,15.0,CL&F Offshore LLC,NG15-03 - 35
52,36525,NH16-07,818,252,0.457505,2219,100.0,Anadarko US Offshore LLC,NH16-07 - 818
53,36512,LA5,135,252,0.150721,3197,100.0,GOME 1271 LLC,LA5 - 135
54,36692,NG15-05,824,252,0.62,2058,100.0,LLOG Exploration Offshore,NG15-05 - 824
55,36618,NG15-02,648,252,0.751988,689,100.0,Shell Offshore Inc.,NG15-02 - 648
56,36489,NG15-04,245,252,0.811988,689,100.0,Shell Offshore Inc.,NG15-04 - 245
57,36680,NG16-02,10,252,0.731988,689,100.0,Shell Offshore Inc.,NG16-02 - 10
58,36572,NH16-11,221,252,0.8002130000000001,3362,100.0,Kosmos Energy Gulf of Mexico Operations,NH16-11 - 221
59,36574,NH16-11,266,252,1.400213,3362,100.0,Kosmos Energy Gulf of Mexico Operations,NH16-11 - 266
60,36483,NG15-02,529,252,0.801988,689,100.0,Shell Offshore Inc.,NG15-02 - 529
61,36643,NG15-03,348,252,4.1009910000000005,59,100.0,Hess Corporation,NG15-03 - 348
62,36643,NG15-03,348,252,0.6075050000000001,2219,100.0,Anadarko US Offshore LLC,NG15-03 - 348
63,36559,NH16-10,826,252,0.605524,2481,100.0,BP Exploration & Production Inc.,NH16-10 - 826
64,36700,NG15-06,627,252,0.604801,3570,85.0,Beacon Offshore Energy Exploration LLC,NG15-06 - 627
65,36700,NG15-06,627,252,0.604801,1999,15.0,Houston Energy,NG15-06 - 627
66,36549,NH16-10,555,252,1.800909,59,100.0,Hess Corporation,NH16-10 - 555
67,36549,NH16-10,555,252,0.72,2058,100.0,LLOG Exploration Offshore,NH16-10 - 555
68,36549,NH16-10,555,252,3.493929,3065,30.0,Talos Resources LLC,NH16-10 - 555
69,36549,NH16-10,555,252,3.493929,2647,70.0,Murphy Exploration & Production Company - USA,NH16-10 - 555
70,36527,NH16-07,861,252,0.17590899999999998,59,100.0,Hess Corporation,NH16-07 - 861
71,36527,NH16-07,861,252,0.457505,2219,100.0,Anadarko US Offshore LLC,NH16-07 - 861
72,36531,NH15-12,906,252,0.027909,59,100.0,Hess Corporation,NH15-12 - 906
73,36702,NG15-06,713,252,1.430837,78,100.0,Chevron U.S.A. Inc.,NG15-06 - 713
74,36617,NG15-02,647,252,0.751988,689,100.0,Shell Offshore Inc.,NG15-02 - 647
75,36654,NG15-03,822,252,1.067505,2219,100.0,Anadarko US Offshore LLC,NG15-03 - 822
76,36654,NG15-03,822,252,1.505024,2481,60.0,BP Exploration & Production Inc.,NG15-03 - 822
77,36654,NG15-03,822,252,4.311212,78,100.0,Chevron U.S.A. Inc.,NG15-03 - 822
78,36654,NG15-03,822,252,1.505024,2277,40.0,BHP Billiton Petroleum (Deepwater) Inc.,NG15-03 - 822
79,36636,NG15-03,195,252,0.600524,2481,100.0,BP Exploration & Production Inc.,NG15-03 - 195
80,36564,NH16-10,874,252,2.067505,2219,100.0,Anadarko US Offshore LLC,NH16-10 - 874
81,36591,NH16-11,842,252,0.771988,689,100.0,Shell Offshore Inc.,NH16-11 - 842
82,36495,NG15-04,342,252,7.201988,689,100.0,Shell Offshore Inc.,NG15-04 - 342
83,36497,NG15-04,386,252,0.801988,689,100.0,Shell Offshore Inc.,NG15-04 - 386
84,36672,NG16-01,67,252,0.605524,2481,100.0,BP Exploration & Production Inc.,NG16-01 - 67
85,36656,NG15-03,885,252,0.6115550000000001,2219,66.67,Anadarko US Offshore LLC,NG15-03 - 885
86,36656,NG15-03,885,252,0.6115550000000001,3228,33.33,Venari Offshore LLC,NG15-03 - 885
87,36575,NH16-11,310,252,1.400213,3362,100.0,Kosmos Energy Gulf of Mexico Operations,NH16-11 - 310
88,36613,NG15-02,604,252,0.751988,689,100.0,Shell Offshore Inc.,NG15-02 - 604
89,36619,NG15-02,685,252,0.751988,689,100.0,Shell Offshore Inc.,NG15-02 - 685
90,36622,NG15-02,771,252,0.771988,689,100.0,Shell Offshore Inc.,NG15-02 - 771
91,36676,NG16-01,138,252,0.949623,2647,50.0,Murphy Exploration & Production Company - USA,NG16-01 - 138
92,36676,NG16-01,138,252,0.949623,1308,50.0,Ridgewood Energy Corporation,NG16-01 - 138
93,36548,NH16-10,554,252,0.72,2058,100.0,LLOG Exploration Offshore,NH16-10 - 554
94,36548,NH16-10,554,252,0.993929,3065,30.0,Talos Resources LLC,NH16-10 - 554
95,36548,NH16-10,554,252,0.993929,2647,70.0,Murphy Exploration & Production Company - USA,NH16-10 - 554
96,36596,NH16-11,889,252,0.771988,689,100.0,Shell Offshore Inc.,NH16-11 - 889
97,36596,NH16-11,889,252,0.600524,2481,100.0,BP Exploration & Production Inc.,NH16-11 - 889
98,36589,NH16-11,804,252,0.731988,689,100.0,Shell Offshore Inc.,NH16-11 - 804
99,36641,NG15-03,304,252,0.6075050000000001,2219,100.0,Anadarko US Offshore LLC,NG15-03 - 304
100,36534,NH16-10,40,252,1.067505,2219,100.0,Anadarko US Offshore LLC,NH16-10 - 40
101,36534,NH16-10,40,252,0.58235,3247,100.0,Talos Energy Offshore LLC,NH16-10 - 40
102,36520,LA10A,295,252,0.1824,2790,100.0,Focus Exploration,LA10A - 295
103,36696,NG15-06,114,252,0.6075050000000001,2219,100.0,Anadarko US Offshore LLC,NG15-06 - 114
104,36567,NH16-10,910,252,0.6075050000000001,2219,100.0,Anadarko US Offshore LLC,NH16-10 - 910
105,36634,NG15-03,151,252,0.605524,2481,100.0,BP Exploration & Production Inc.,NG15-03 - 151
106,36638,NG15-03,239,252,0.880524,2481,100.0,BP Exploration & Production Inc.,NG15-03 - 239
107,36566,NH16-10,904,252,1.071933,3247,9.5637,Talos Energy Offshore LLC,NH16-10 - 904
108,36566,NH16-10,904,252,1.071933,3295,58.9363,Fieldwood Energy LLC,NH16-10 - 904
109,36566,NH16-10,904,252,1.071933,2990,31.5,Ecopetrol America Inc.,NH16-10 - 904
110,36579,NH16-11,713,252,0.731988,689,100.0,Shell Offshore Inc.,NH16-11 - 713
111,36478,NG15-01,909,252,0.801988,689,100.0,Shell Offshore Inc.,NG15-01 - 909
112,36679,NG16-01,488,252,0.611884,3026,100.0,EnVen Energy Ventures,NG16-01 - 488
113,36535,NH16-10,73,252,0.58245,3247,100.0,Talos Energy Offshore LLC,NH16-10 - 73
114,36627,NG15-03,47,252,0.2,1284,100.0,W & T Offshore,NG15-03 - 47
115,36506,LA4A,378,252,0.25,1284,100.0,W & T Offshore,LA4A - 378
116,36554,NH16-10,739,252,0.6075050000000001,2219,100.0,Anadarko US Offshore LLC,NH16-10 - 739
117,36558,NH16-10,801,252,9.596676,689,100.0,Shell Offshore Inc.,NH16-10 - 801
118,36558,NH16-10,801,252,1.25625,3247,100.0,Talos Energy Offshore LLC,NH16-10 - 801
119,36558,NH16-10,801,252,24.495776,2748,100.0,Equinor Gulf of Mexico LLC,NH16-10 - 801
120,36558,NH16-10,801,252,2.016001,3570,99.0,Beacon Offshore Energy Exploration LLC,NH16-10 - 801
121,36558,NH16-10,801,252,2.016001,1999,1.0,Houston Energy,NH16-10 - 801
122,36599,NH16-11,933,252,0.771988,689,100.0,Shell Offshore Inc.,NH16-11 - 933
123,36599,NH16-11,933,252,0.600524,2481,100.0,BP Exploration & Production Inc.,NH16-11 - 933
124,36628,NG15-03,49,252,0.15,1284,100.0,W & T Offshore,NG15-03 - 49
125,36581,NH16-11,715,252,0.731988,689,100.0,Shell Offshore Inc.,NH16-11 - 715
126,36501,NG15-04,775,252,1.2019879999999998,689,100.0,Shell Offshore Inc.,NG15-04 - 775
127,36606,NG15-02,465,252,0.801988,689,100.0,Shell Offshore Inc.,NG15-02 - 465
128,36538,NH16-10,163,252,1.231224,3295,20.0,Fieldwood Energy LLC,NH16-10 - 163
129,36538,NH16-10,163,252,1.231224,78,80.0,Chevron U.S.A. Inc.,NH16-10 - 163
130,36504,LA3C,205,252,0.15,1284,100.0,W & T Offshore,LA3C - 205
131,36626,NG15-03,46,252,0.175,1284,100.0,W & T Offshore,NG15-03 - 46
132,36550,NH16-10,661,252,0.1728,730,100.0,Walter Oil & Gas Corporation,NH16-10 - 661
133,36623,NG15-03,3,252,0.008,1284,100.0,W & T Offshore,NG15-03 - 3
134,36552,NH16-10,693,252,0.583333,3295,100.0,Fieldwood Energy LLC,NH16-10 - 693
135,36552,NH16-10,693,252,9.00301,1500,100.0,TOTAL E&P USA,NH16-10 - 693
136,36602,NG15-02,173,252,0.5,1284,100.0,W & T Offshore,NG15-02 - 173
137,36556,NH16-10,783,252,4.5675050000000015,2219,100.0,Anadarko US Offshore LLC,NH16-10 - 783
138,36493,NG15-04,340,252,0.751988,689,100.0,Shell Offshore Inc.,NG15-04 - 340
139,36568,NH16-10,937,252,1.601988,689,100.0,Shell Offshore Inc.,NH16-10 - 937
140,36670,NG16-01,24,252,0.650524,2481,100.0,BP Exploration & Production Inc.,NG16-01 - 24
141,36625,NG15-03,37,252,1.537073,3026,100.0,EnVen Energy Ventures,NG15-03 - 37
